stamp,doc_type,n_sentences,n_directional,tone_finbert,tone_direction,tone_finbert_aug,chair
2023-03-22 14:00:00,statement,17.0,2.0,-0.181828070212813,0.5,-0.09946784683886696,Powell
2023-03-22 14:30:00,speech,357.0,4.0,-0.031665531125347486,0.25,-0.029009081887639537,Powell
2023-04-12 14:00:00,minutes,248.0,20.0,0.038775023343341965,0.35,0.07552587571403672,Powell
2023-05-03 14:00:00,statement,16.0,1.0,-0.08297405019402504,0.5,-0.030438998714089394,Powell
2023-05-03 14:30:00,speech,476.0,12.0,0.022806593428264146,0.3541666666666667,0.03486238225918858,Powell
2023-05-24 14:00:00,minutes,275.0,11.0,0.09715387832034718,0.5227272727272727,0.11746279077096419,Powell
2023-06-14 14:00:00,statement,16.0,0.0,-0.09456134145148098,,-0.09456134145148098,Powell
2023-06-14 14:30:00,speech,464.0,8.0,-0.00982888050152567,0.125,-0.007355169336921696,Powell
2023-06-21 08:30:00,speech,44.0,2.0,-0.07586853214624253,0.5,-0.05550551558421417,Powell
2023-06-29 02:30:00,speech,76.0,5.0,-0.08052051572227165,0.5,-0.054857047323725726,Powell
2023-07-05 14:00:00,minutes,240.0,10.0,-0.017217723769135773,0.325,0.009672546021950742,Powell
2023-07-26 14:00:00,statement,16.0,1.0,-0.11396095412783325,0.5,-0.058331263018772006,Powell
2023-07-26 14:30:00,speech,458.0,9.0,-0.016030746837467868,0.4444444444444444,-0.005742141696335707,Powell
2023-08-16 14:00:00,minutes,230.0,11.0,-0.03944898932038442,0.5227272727272727,0.012902941676261633,Powell
2023-08-25 10:05:00,speech,94.0,4.0,0.1705564613196444,0.75,0.191338791571399,Powell
2023-09-20 14:00:00,statement,16.0,0.0,-0.041311826556921005,,-0.041311826556921005,Powell
2023-09-20 14:30:00,speech,480.0,7.0,-0.03670296034930895,0.21428571428571427,-0.0325972487218678,Powell
2023-10-11 14:00:00,minutes,226.0,11.0,-0.01608372117862501,0.4318181818181818,0.03041912212275562,Powell
2023-11-01 14:00:00,statement,16.0,0.0,-0.04699825495481491,,-0.04699825495481491,Powell
2023-11-01 14:30:00,speech,461.0,3.0,-0.016181210241807773,0.5,-0.014923728949949953,Powell
2023-11-09 14:00:00,speech,61.0,0.0,0.13275373565246823,,0.13275373565246823,Powell
2023-11-21 14:00:00,minutes,242.0,10.0,-0.009223085851216119,0.225,-0.0015479272677878704,Powell
2023-12-13 14:00:00,statement,17.0,0.0,0.03324533998966217,,0.03324533998966217,Powell
2023-12-13 14:30:00,speech,406.0,7.0,0.0005219319348998845,-0.21428571428571427,-0.008452853509064379,Powell
2024-01-03 14:00:00,minutes,228.0,11.0,0.15533710249062432,0.00454545454545455,0.1379439583946869,Powell
2024-01-31 14:00:00,statement,15.0,0.0,-0.11798479979236921,,-0.11798479979236921,Powell
2024-01-31 14:30:00,speech,501.0,3.0,-0.01492538954876735,-0.16666666666666666,-0.014116330919954592,Powell
2024-02-21 14:00:00,minutes,248.0,8.0,0.022346294064435265,0.125,0.020439425693644632,Powell
2024-03-06 08:30:00,speech,40.0,1.0,-0.17242231401614844,0.5,-0.13809564295224847,Powell
2024-03-20 14:00:00,statement,15.0,0.0,-0.14390326365828515,,-0.14390326365828515,Powell
2024-03-20 14:30:00,speech,404.0,2.0,-0.00875056197055348,0.0,-0.006657137171282332,Powell
2024-04-10 14:00:00,minutes,252.0,13.0,-0.05771271712220614,0.34615384615384615,-0.013840280288446045,Powell
2024-05-01 14:00:00,statement,18.0,0.0,-0.058405023689071335,,-0.058405023689071335,Powell
2024-05-01 14:30:00,speech,464.0,4.0,0.002153364817033811,0.25,0.0028273475974605515,Powell
2024-05-22 14:00:00,minutes,245.0,6.0,-0.098314835594929,-0.041666666666666664,-0.10278090050786125,Powell
